mix_id,audio_url,audio_length,audio_size,audio_sr,audio_source,num_tracks,all_ided,num_ided_tracks,dj_id
2spuzzvt,https://soundcloud.com/stevevoidmusic/rf048,3600.0391836735,54.9330339432,44100,soundcloud,19,True,19,stevevoid
2uk0n7y9,https://soundcloud.com/avoure/hedgehog-in-the-fog-pt2,3513.3648979592,53.6104898453,44100,soundcloud,11,True,11,avoure
1b38y2dk,https://www.mixcloud.com/swankytunes/swanky-tunes-showland-253/,3575.8265759637,105.0875968933,44100,mixcloud,18,True,18,swankytunes
u986wt1,https://soundcloud.com/jackedradio/afrojack-presents-jacked-radio-427,3551.1118367347,54.1864624023,44100,soundcloud,26,True,26,afrojack
bcvuh41,https://soundcloud.com/transmissionfestival/transmission-radio-116,3643.4546938776,55.5955028534,44100,soundcloud,13,True,13,andidurrant
qhur0rk,https://www.mixcloud.com/MartinGarrix/the-martin-garrix-show-169/,3600.1146485261,106.0079307556,44100,mixcloud,18,True,18,martingarrix
sc8798k,https://www.mixcloud.com/robinschulz/robin-schulz-sugar-radio-087/,3597.6533333333,106.6975479126,44100,mixcloud,16,True,16,robinschulz
1jn0uy3t,https://youtu.be/RS6NR_O5ouI,3456.6915,105.1863527298,48000,youtube,19,True,19,hardwell
28v7kbp9,https://www.mixcloud.com/esquiremusic/esquire-november-2019-house-music-podcast/,4062.702585034,120.7548208237,44100,mixcloud,15,True,15,esquire
h2zc1g1,https://www.mixcloud.com/TrackWolvesRadio/curbi-trackwolves-radio-010/,3573.1795011338,108.7702455521,44100,mixcloud,19,True,19,curbi
3wrcv2t,https://soundcloud.com/treasured-tape/treasure-tape-7,3595.9919954648,54.8716506958,44100,soundcloud,13,True,13,michaelcalfan
xynr0y1,https://soundcloud.com/officialjuro/blast-radio-016,3191.3273469388,48.6965866089,44100,soundcloud,17,True,17,juro
u5j64hk,https://soundcloud.com/jackedradio/jacked-230-sirius,3553.2016326531,54.2183504105,44100,soundcloud,18,True,18,afrojack
1q44vw21,https://soundcloud.com/user-50959202/bmkltsch-sessions-13-trip-down-memory-lane,3457.6718367347,52.7606811523,44100,soundcloud,16,True,16,mikemago
1xlpjl4k,https://soundcloud.com/maxximizerecords/maxximize-records-yearmix-2016,3497.7175510204,53.3717298508,44100,soundcloud,19,True,19,unknown
251znzrk,https://www.mixcloud.com/xavier-sandoval/thomas-gold-fanfare-radioshow-287/,3600.253968254,105.4332294464,44100,mixcloud,17,True,17,thomasgold
2tjrw6ut,https://soundcloud.com/steveaoki/aokis-house-257,3588.5453061224,54.757651329,44100,soundcloud,19,True,19,steveaoki
64bl0r9,https://www.mixcloud.com/EatDanceRaveRepeat/hi-lo-spinnin-sessions-125/,3599.5109297052,105.937707901,44100,mixcloud,21,True,21,hilo
1syqs2r9,https://youtu.be/UD1CW-Bt0Rs,3592.1335,107.290394783,48000,youtube,11,True,11,ilanbluestone
yv24c41,https://www.mixcloud.com/spinninsessions2/spinnin-sessions-181-mesto-guestmix/,3603.9227210884,104.2662057877,44100,mixcloud,19,True,19,mesto
2fg46m49,https://www.mixcloud.com/spinninsessions2/spinnin-sessions-236-guestmix-quintino/,3600.9505668934,107.0621261597,44100,mixcloud,19,True,19,quintino
195h5j61,https://youtu.be/xWHvVEw3brc,3583.1822083333,107.8842287064,48000,youtube,19,True,19,dondiablo
1r4dsk69,https://soundcloud.com/marlomusic/altitude-radio-episode-024-world,3544.372244898,54.0836238861,44100,soundcloud,13,True,13,marlo
22b2f051,https://soundcloud.com/kryteria-radio/kryteria-184,3600.587755102,54.9414052963,44100,soundcloud,21,True,21,kryder
1gss0z51,https://soundcloud.com/jay-hardway/jay-hardway-inspire-radio-ep-69,3564.5760090703,54.3921384811,44100,soundcloud,18,True,18,jayhardway
2spzvu69,https://www.mixcloud.com/PrototypeMixes/david-guetta-playlist-493/,3600.253968254,111.9364595413,44100,mixcloud,16,True,16,davidguetta
2mzzr6k9,https://soundcloud.com/feddelegrand/darklight-sessions-335,3592.9687528345,54.8254127502,44100,soundcloud,19,True,19,feddelegrand
zul96t1,https://www.mixcloud.com/Enhanced_Music/enhanced-sessions-465-with-steve-brian/,3600.2075283447,106.8426332474,44100,mixcloud,12,True,12,stevebrian
2l4f5951,https://soundcloud.com/claptone/clapcast-184,3632.64,55.4304828644,44100,soundcloud,12,True,12,claptone
j0wdvtt,https://soundcloud.com/noraenpure/purified-147,3600.0391836735,54.9330339432,44100,soundcloud,12,True,12,noraenpure
pm03guk,https://soundcloud.com/jay-hardway/jay-hardway-inspire-radio-57,3641.4955102041,55.5656080246,44100,soundcloud,16,True,16,jayhardway
2hb418b1,https://www.mixcloud.com/AZ_Music/ferry-tayle-dan-stone-fables-042/,3679.7126530612,105.8765830994,44100,mixcloud,11,True,11,ferrytayle
c9lvy71,https://www.mixcloud.com/Tritonal/tritonia-164/,3600.6719274376,103.2216072083,44100,mixcloud,19,True,19,tritonal
2qtrt9p1,https://soundcloud.com/ferdinandweber/f-a-v-s-0-1-2-ferdinand-weber,3604.8979591837,55.0071735382,44100,soundcloud,14,True,14,ferdinandweber
yy37gvk,https://youtu.be/XxSmY7VNaCk,6008.2162083333,166.8647890091,48000,youtube,12,True,12,hvob
jyujq21,https://youtu.be/y76v5dSsLDU,3596.7310416667,110.0944261551,48000,youtube,19,True,19,hardwell
1yjyw43t,https://soundcloud.com/flashoverrecordings/flashover-radio-032,3601.2408163265,54.9513702393,44100,soundcloud,11,True,11,stonefaceterminal
2dj839bk,https://www.mixcloud.com/feddelegrand/fedde-le-grand-darklight-sessions-270/,3604.1084807256,106.9560785294,44100,mixcloud,19,True,19,feddelegrand
j0n2t51,https://soundcloud.com/aboveandbeyond/group-therapy-323-with-above,7200.3395918367,109.8692588806,44100,soundcloud,27,True,27,abovebeyond
229yjfuk,https://youtu.be/ZHdbacD6wAw,3547.50475,107.4961824417,48000,youtube,18,True,18,hardwell
1kkdnmk9,https://www.mixcloud.com/lucasandsteve/lucas-steve-present-skyline-sessions-111/,3596.7245351474,108.1188554764,44100,mixcloud,18,True,18,lucasandsteve
2gfxd70t,https://soundcloud.com/sandervandoorn/sander-van-doorn-identity-513,3578.6448979592,54.6065835953,44100,soundcloud,17,True,17,sandervandoorn
187cf7jk,https://www.mixcloud.com/cartaofficial/carta-co-episode-95/,3605.5945578231,109.0686941147,44100,mixcloud,18,True,18,carta
1gqcbq1k,https://www.mixcloud.com/djsesion/dimitri-vegas-and-like-mike-smash-the-house-222-28-07-2017/,3250.7007709751,93.4190454483,44100,mixcloud,16,True,16,dimitrivegasandlikemike
2m1usm9t,https://soundcloud.com/ineedr3hab/r3hab-i-need-r3hab-314,3658.24,55.8211078644,44100,soundcloud,18,True,18,r3hab
g344jdt,https://www.mixcloud.com/MartinGarrix/the-martin-garrix-show-143/,3600.1146485261,106.8466482162,44100,mixcloud,18,True,18,martingarrix
2hbxc1dt,https://www.mixcloud.com/AZ_Music/jauz-bite-this-radio-043-best-of-2018/,3580.3776870748,106.3404111862,44100,mixcloud,30,True,30,jauz
28v7m39t,https://soundcloud.com/popovmusic/interplay-radioshow-268-04-11-19,3622.0865306123,55.2694501877,44100,soundcloud,13,True,13,alexanderpopov
bg0uq6t,https://www.mixcloud.com/djsets4u/1live-dj-session-oliver-heldens-04052019/,3689.7901133787,101.0721645355,44100,mixcloud,27,True,27,oliverheldens
77b1q4t,https://www.mixcloud.com/Avicii/avicii-levels-episode-028/,3496.2285714286,104.6006774902,44100,mixcloud,13,True,13,avicii
245k6usk,https://soundcloud.com/steveaoki/aokis-house-371,3593.0906122449,54.8270072937,44100,soundcloud,18,True,18,steveaoki
